config,level,scenario,seed,team,result,wave,lives,kills,draws,spent,coins,maxTowers,maxTier,time
balance.json,brook,idle-2-star,7,sprout+fox,Won,8,4,105,0,0,2470,2,1,275.9
balance.json,brook,idle-2-star,7,sprout+turtle,Lost,8,0,99,0,0,2255,2,1,367.0
balance.json,brook,idle-2-star,7,sprout+deer,Lost,8,0,95,0,0,2216,2,1,299.7
balance.json,brook,idle-2-star,7,sprout+bat,Lost,8,0,98,0,0,2246,2,1,295.5
balance.json,brook,idle-1-star,7,otter+otter,Lost,5,0,38,0,0,1218,1,1,235.3
balance.json,brook,idle-2-star,7,otter+otter,Lost,7,0,80,0,0,1912,2,1,301.7
balance.json,brook,idle-2-star,7,otter+fox,Won,8,8,107,0,0,2500,2,1,283.6
balance.json,brook,idle-2-star,7,otter+turtle,Lost,7,0,77,0,0,1878,2,1,349.4
balance.json,brook,idle-2-star,7,otter+deer,Lost,7,0,73,0,0,1833,2,1,288.3
balance.json,brook,idle-2-star,7,otter+bat,Lost,8,0,90,0,0,2140,2,1,328.0
balance.json,brook,idle-1-star,7,fox+fox,Lost,7,0,79,0,0,1902,1,1,297.4
balance.json,brook,idle-2-star,7,fox+fox,Won,8,4,105,0,0,2470,2,1,357.0
balance.json,brook,idle-2-star,7,fox+turtle,Won,8,4,105,0,0,2470,2,1,361.0
balance.json,brook,idle-2-star,7,fox+deer,Lost,8,0,102,0,0,2295,2,1,282.9
balance.json,brook,idle-2-star,7,fox+bat,Won,8,6,106,0,0,2485,2,1,273.7
balance.json,brook,idle-1-star,7,turtle+turtle,Lost,5,0,43,0,0,1273,1,1,242.4
balance.json,brook,idle-2-star,7,turtle+turtle,Lost,8,0,99,0,0,2255,2,1,377.2
balance.json,brook,idle-2-star,7,turtle+deer,Lost,7,0,76,0,0,1862,2,1,348.5
balance.json,brook,idle-2-star,7,turtle+bat,Lost,8,0,99,0,0,2255,2,1,371.3
balance.json,brook,idle-1-star,7,deer+deer,Lost,5,0,37,0,0,1210,1,1,238.5
balance.json,brook,idle-2-star,7,deer+deer,Lost,6,0,57,0,0,1549,2,1,231.5
balance.json,brook,idle-2-star,7,deer+bat,Lost,8,0,93,0,0,2181,2,1,307.3
balance.json,brook,idle-1-star,7,bat+bat,Lost,6,0,54,0,0,1510,1,1,244.0
balance.json,brook,idle-2-star,7,bat+bat,Lost,8,0,96,0,0,2221,2,1,283.9
balance.json,brook,managed-star,7,falcon+sprout+otter+fox+turtle,Won,8,20,112,48,2400,220,14,3,127.6
balance.json,brook,managed-no-star,7,falcon+sprout+otter+fox+turtle,Won,8,20,112,48,2400,220,14,3,131.1
balance.json,brook,managed-star,19,falcon+sprout+otter+fox+turtle,Won,8,20,112,48,2400,220,14,3,135.2
balance.json,brook,managed-no-star,19,falcon+sprout+otter+fox+turtle,Won,8,20,112,48,2400,220,14,3,136.8
balance.json,brook,managed-star,41,falcon+sprout+otter+fox+turtle,Won,8,20,112,48,2400,220,14,3,129.8
balance.json,brook,managed-no-star,41,falcon+sprout+otter+fox+turtle,Won,8,20,112,48,2400,220,14,3,130.4
balance.json,brook,managed-star,73,falcon+sprout+otter+fox+turtle,Won,8,20,112,48,2400,220,14,3,130.3
balance.json,brook,managed-no-star,73,falcon+sprout+otter+fox+turtle,Won,8,20,112,48,2400,220,14,3,131.0
balance.json,brook,managed-star,101,falcon+sprout+otter+fox+turtle,Won,8,20,112,48,2400,220,14,3,136.2
balance.json,brook,managed-no-star,101,falcon+sprout+otter+fox+turtle,Won,8,20,112,48,2400,220,14,3,140.3
balance.json,grove,idle-1-star,7,falcon+falcon,Lost,5,0,45,0,0,1283,1,1,216.8
balance.json,grove,idle-2-star,7,falcon+falcon,Lost,7,0,87,0,0,1980,2,1,269.6
balance.json,grove,idle-2-star,7,falcon+sprout,Lost,8,0,101,0,0,2252,2,1,309.7
balance.json,grove,idle-2-star,7,falcon+otter,Lost,7,0,86,0,0,1965,2,1,279.8
balance.json,grove,idle-2-star,7,falcon+fox,Lost,9,0,124,0,0,2644,2,1,340.1
balance.json,grove,idle-2-star,7,falcon+turtle,Lost,7,0,83,0,0,1925,2,1,309.3
balance.json,grove,idle-2-star,7,falcon+deer,Lost,7,0,81,0,0,1900,2,1,275.4
