config,level,scenario,seed,team,result,wave,lives,kills,draws,spent,coins,maxTowers,maxTier,time
balance.json,glade,idle-1-star,7,falcon+falcon,Lost,5,0,23,0,0,412,1,1,203.9
balance.json,glade,idle-2-star,7,falcon+falcon,Lost,6,0,43,0,0,561,2,1,236.5
balance.json,glade,idle-2-star,7,falcon+sprout,Lost,6,0,41,0,0,551,2,1,237.4
balance.json,glade,idle-2-star,7,falcon+otter,Lost,6,0,43,0,0,560,2,1,239.3
balance.json,glade,idle-2-star,7,falcon+fox,Lost,6,0,45,0,0,577,2,1,229.9
balance.json,glade,idle-2-star,7,falcon+turtle,Lost,6,0,45,0,0,573,2,1,232.4
balance.json,glade,idle-2-star,7,falcon+deer,Lost,6,0,40,0,0,543,2,1,234.8
balance.json,glade,idle-2-star,7,falcon+bat,Lost,6,0,41,0,0,552,2,1,237.4
balance.json,glade,idle-1-star,7,sprout+sprout,Lost,4,0,16,0,0,340,1,1,173.9
balance.json,glade,idle-2-star,7,sprout+sprout,Lost,5,0,29,0,0,446,2,1,197.1
balance.json,glade,idle-2-star,7,sprout+otter,Lost,5,0,32,0,0,460,2,1,203.2
balance.json,glade,idle-2-star,7,sprout+fox,Lost,6,0,43,0,0,558,2,1,234.4
balance.json,glade,idle-2-star,7,sprout+turtle,Lost,6,0,41,0,0,548,2,1,241.6
balance.json,glade,idle-2-star,7,sprout+deer,Lost,5,0,30,0,0,451,2,1,195.2
balance.json,glade,idle-2-star,7,sprout+bat,Lost,6,0,38,0,0,534,2,1,232.1
balance.json,glade,idle-1-star,7,otter+otter,Lost,4,0,14,0,0,330,1,1,176.7
balance.json,glade,idle-2-star,7,otter+otter,Lost,5,0,30,0,0,450,2,1,220.4
balance.json,glade,idle-2-star,7,otter+fox,Lost,6,0,46,0,0,582,2,1,247.8
balance.json,glade,idle-2-star,7,otter+turtle,Lost,6,0,37,0,0,526,2,1,246.4
balance.json,glade,idle-2-star,7,otter+deer,Lost,5,0,29,0,0,445,2,1,210.3
balance.json,glade,idle-2-star,7,otter+bat,Lost,5,0,31,0,0,459,2,1,208.8
balance.json,glade,idle-1-star,7,fox+fox,Lost,4,0,20,0,0,358,1,1,180.8
balance.json,glade,idle-2-star,7,fox+fox,Lost,6,0,45,0,0,573,2,1,228.0
balance.json,glade,idle-2-star,7,fox+turtle,Lost,6,0,45,0,0,573,2,1,228.5
balance.json,glade,idle-2-star,7,fox+deer,Lost,6,0,43,0,0,564,2,1,231.0
balance.json,glade,idle-2-star,7,fox+bat,Lost,6,0,43,0,0,565,2,1,239.7
balance.json,glade,idle-1-star,7,turtle+turtle,Lost,4,0,19,0,0,355,1,1,176.5
balance.json,glade,idle-2-star,7,turtle+turtle,Lost,6,0,41,0,0,544,2,1,241.7
balance.json,glade,idle-2-star,7,turtle+deer,Lost,5,0,33,0,0,468,2,1,199.1
balance.json,glade,idle-2-star,7,turtle+bat,Lost,5,0,33,0,0,464,2,1,197.4
balance.json,glade,idle-1-star,7,deer+deer,Lost,4,0,9,0,0,307,1,1,162.6
balance.json,glade,idle-2-star,7,deer+deer,Lost,5,0,25,0,0,421,2,1,205.7
balance.json,glade,idle-2-star,7,deer+bat,Lost,5,0,32,0,0,463,2,1,200.9
balance.json,glade,idle-1-star,7,bat+bat,Lost,4,0,18,0,0,350,1,1,171.0
balance.json,glade,idle-2-star,7,bat+bat,Lost,6,0,39,0,0,535,2,1,232.1
balance.json,glade,managed-star,7,falcon+sprout+otter,Won,6,20,60,11,660,93,12,2,149.3
balance.json,glade,managed-no-star,7,falcon+sprout+otter,Won,6,20,60,11,660,93,12,2,157.2
balance.json,glade,managed-star,7,fox+otter+falcon,Won,6,20,60,11,660,93,12,2,142.2
balance.json,glade,managed-no-star,7,fox+otter+falcon,Won,6,20,60,11,660,93,12,2,147.3
balance.json,glade,managed-star,19,falcon+sprout+otter,Won,6,20,60,11,660,93,12,2,151.9
balance.json,glade,managed-no-star,19,falcon+sprout+otter,Won,6,20,60,11,660,93,12,2,164.5
balance.json,glade,managed-star,19,fox+otter+falcon,Won,6,20,60,11,660,93,12,2,145.6
balance.json,glade,managed-no-star,19,fox+otter+falcon,Won,6,20,60,11,660,93,12,2,152.9
balance.json,glade,managed-star,41,falcon+sprout+otter,Won,6,20,60,11,660,93,12,2,148.0
balance.json,glade,managed-no-star,41,falcon+sprout+otter,Won,6,20,60,11,660,93,12,2,159.1
balance.json,glade,managed-star,41,fox+otter+falcon,Won,6,20,60,11,660,93,12,2,140.8
balance.json,glade,managed-no-star,41,fox+otter+falcon,Won,6,20,60,11,660,93,12,2,143.7
balance.json,glade,managed-star,73,falcon+sprout+otter,Won,6,20,60,11,660,93,12,2,150.0
balance.json,glade,managed-no-star,73,falcon+sprout+otter,Won,6,20,60,11,660,93,12,2,155.5
balance.json,glade,managed-star,73,fox+otter+falcon,Won,6,20,60,11,660,93,12,2,151.0
balance.json,glade,managed-no-star,73,fox+otter+falcon,Won,6,20,60,11,660,93,12,2,154.9
balance.json,glade,managed-star,101,falcon+sprout+otter,Won,6,20,60,11,660,93,12,2,133.7
balance.json,glade,managed-no-star,101,falcon+sprout+otter,Won,6,20,60,11,660,93,12,2,141.6
balance.json,glade,managed-star,101,fox+otter+falcon,Won,6,20,60,11,660,93,12,2,128.7
balance.json,glade,managed-no-star,101,fox+otter+falcon,Won,6,20,60,11,660,93,12,2,133.0
balance.json,brook,idle-1-star,7,falcon+falcon,Lost,3,0,14,0,0,300,1,1,138.4
balance.json,brook,idle-2-star,7,falcon+falcon,Lost,5,0,33,0,0,471,2,1,198.7
balance.json,brook,idle-2-star,7,falcon+sprout,Lost,4,0,25,0,0,389,2,1,168.7
balance.json,brook,idle-2-star,7,falcon+otter,Lost,4,0,26,0,0,394,2,1,176.1
balance.json,brook,idle-2-star,7,falcon+fox,Lost,5,0,35,0,0,481,2,1,206.8
balance.json,brook,idle-2-star,7,falcon+turtle,Lost,5,0,34,0,0,473,2,1,200.7
balance.json,brook,idle-2-star,7,falcon+deer,Lost,4,0,24,0,0,385,2,1,168.5
balance.json,brook,idle-2-star,7,falcon+bat,Lost,4,0,25,0,0,389,2,1,168.7
balance.json,brook,idle-1-star,7,sprout+sprout,Lost,3,0,12,0,0,288,1,1,132.7
balance.json,brook,idle-2-star,7,sprout+sprout,Lost,4,0,18,0,0,353,2,1,155.5
balance.json,brook,idle-2-star,7,sprout+otter,Lost,4,0,21,0,0,367,2,1,171.4
balance.json,brook,idle-2-star,7,sprout+fox,Lost,4,0,24,0,0,384,2,1,166.9
balance.json,brook,idle-2-star,7,sprout+turtle,Lost,4,0,26,0,0,395,2,1,172.2
balance.json,brook,idle-2-star,7,sprout+deer,Lost,4,0,22,0,0,375,2,1,171.0
balance.json,brook,idle-2-star,7,sprout+bat,Lost,4,0,23,0,0,380,2,1,169.8
balance.json,brook,idle-1-star,7,otter+otter,Lost,3,0,12,0,0,286,1,1,137.7
balance.json,brook,idle-2-star,7,otter+otter,Lost,4,0,22,0,0,371,2,1,175.6
balance.json,brook,idle-2-star,7,otter+fox,Lost,4,0,29,0,0,412,2,1,177.0
balance.json,brook,idle-2-star,7,otter+turtle,Lost,4,0,24,0,0,381,2,1,177.5
balance.json,brook,idle-2-star,7,otter+deer,Lost,4,0,21,0,0,367,2,1,172.2
balance.json,brook,idle-2-star,7,otter+bat,Lost,4,0,21,0,0,367,2,1,171.7
balance.json,brook,idle-1-star,7,fox+fox,Lost,3,0,11,0,0,283,1,1,132.7
balance.json,brook,idle-2-star,7,fox+fox,Lost,5,0,33,0,0,469,2,1,201.0
balance.json,brook,idle-2-star,7,fox+turtle,Lost,5,0,32,0,0,467,2,1,200.5
balance.json,brook,idle-2-star,7,fox+deer,Lost,4,0,26,0,0,394,2,1,167.6
balance.json,brook,idle-2-star,7,fox+bat,Lost,4,0,26,0,0,397,2,1,169.4
balance.json,brook,idle-1-star,7,turtle+turtle,Lost,3,0,12,0,0,288,1,1,134.7
balance.json,brook,idle-2-star,7,turtle+turtle,Lost,4,0,22,0,0,376,2,1,170.1
balance.json,brook,idle-2-star,7,turtle+deer,Lost,4,0,25,0,0,389,2,1,176.4
balance.json,brook,idle-2-star,7,turtle+bat,Lost,4,0,24,0,0,386,2,1,169.4
balance.json,brook,idle-1-star,7,deer+deer,Lost,3,0,5,0,0,257,1,1,122.1
balance.json,brook,idle-2-star,7,deer+deer,Lost,3,0,14,0,0,300,2,1,138.4
balance.json,brook,idle-2-star,7,deer+bat,Lost,4,0,22,0,0,375,2,1,171.0
balance.json,brook,idle-1-star,7,bat+bat,Lost,3,0,13,0,0,292,1,1,135.5
balance.json,brook,idle-2-star,7,bat+bat,Lost,4,0,23,0,0,380,2,1,171.0
balance.json,brook,managed-star,7,falcon+sprout+otter+fox+turtle,Won,8,20,112,17,1020,138,12,2,285.6
balance.json,brook,managed-no-star,7,falcon+sprout+otter+fox+turtle,Won,8,20,112,17,1020,138,12,2,306.0
balance.json,brook,managed-star,7,fox+otter+falcon+sprout+deer,Won,8,20,112,17,1020,138,12,2,251.4
balance.json,brook,managed-no-star,7,fox+otter+falcon+sprout+deer,Won,8,20,112,17,1020,138,12,2,270.6
balance.json,brook,managed-star,19,falcon+sprout+otter+fox+turtle,Won,8,20,112,17,1020,138,12,2,276.0
balance.json,brook,managed-no-star,19,falcon+sprout+otter+fox+turtle,Won,8,20,112,17,1020,138,12,2,286.9
