config,level,scenario,seed,team,result,wave,lives,kills,draws,spent,coins,maxTowers,maxTier,time
balance.json,brook,idle-2-star,7,sprout+otter,Lost,4,0,26,0,0,398,2,1,166.5
balance.json,brook,idle-2-star,7,sprout+fox,Lost,4,0,25,0,0,393,2,1,158.5
balance.json,brook,idle-2-star,7,sprout+turtle,Lost,4,0,23,0,0,383,2,1,155.7
balance.json,brook,idle-2-star,7,sprout+deer,Lost,4,0,21,0,0,368,2,1,160.3
balance.json,brook,idle-2-star,7,sprout+bat,Lost,4,0,24,0,0,388,2,1,164.1
balance.json,brook,idle-1-star,7,otter+otter,Lost,3,0,9,0,0,273,1,1,130.7
balance.json,brook,idle-2-star,7,otter+otter,Lost,4,0,20,0,0,362,2,1,168.4
balance.json,brook,idle-2-star,7,otter+fox,Lost,4,0,27,0,0,406,2,1,160.5
balance.json,brook,idle-2-star,7,otter+turtle,Lost,4,0,21,0,0,367,2,1,165.8
balance.json,brook,idle-2-star,7,otter+deer,Lost,3,0,14,0,0,302,2,1,126.9
balance.json,brook,idle-2-star,7,otter+bat,Lost,4,0,20,0,0,362,2,1,164.5
balance.json,brook,idle-1-star,7,fox+fox,Lost,3,0,12,0,0,291,1,1,123.8
balance.json,brook,idle-2-star,7,fox+fox,Lost,4,0,28,0,0,414,2,1,158.8
balance.json,brook,idle-2-star,7,fox+turtle,Lost,4,0,28,0,0,414,2,1,158.8
balance.json,brook,idle-2-star,7,fox+deer,Lost,4,0,26,0,0,401,2,1,158.2
balance.json,brook,idle-2-star,7,fox+bat,Lost,4,0,24,0,0,385,2,1,155.7
balance.json,brook,idle-1-star,7,turtle+turtle,Lost,3,0,14,0,0,300,1,1,128.2
balance.json,brook,idle-2-star,7,turtle+turtle,Lost,4,0,26,0,0,398,2,1,163.0
balance.json,brook,idle-2-star,7,turtle+deer,Lost,4,0,23,0,0,377,2,1,165.2
balance.json,brook,idle-2-star,7,turtle+bat,Lost,4,0,24,0,0,388,2,1,160.8
balance.json,brook,idle-1-star,7,deer+deer,Lost,3,0,3,0,0,248,1,1,105.7
balance.json,brook,idle-2-star,7,deer+deer,Lost,3,0,14,0,0,300,2,1,126.7
balance.json,brook,idle-2-star,7,deer+bat,Lost,4,0,22,0,0,372,2,1,160.3
balance.json,brook,idle-1-star,7,bat+bat,Lost,3,0,13,0,0,295,1,1,126.7
balance.json,brook,idle-2-star,7,bat+bat,Lost,4,0,23,0,0,380,2,1,163.2
balance.json,brook,managed-star,7,falcon+sprout+otter+fox+turtle,Won,8,20,140,19,1140,101,12,2,274.9
balance.json,brook,managed-no-star,7,falcon+sprout+otter+fox+turtle,Won,8,20,140,19,1140,101,12,2,292.0
balance.json,brook,managed-star,7,fox+otter+falcon+sprout+deer,Won,8,20,140,19,1140,101,12,2,240.7
balance.json,brook,managed-no-star,7,fox+otter+falcon+sprout+deer,Won,8,20,140,19,1140,101,12,2,247.6
balance.json,brook,managed-star,19,falcon+sprout+otter+fox+turtle,Won,8,20,140,19,1140,101,12,2,258.0
balance.json,brook,managed-no-star,19,falcon+sprout+otter+fox+turtle,Won,8,20,140,19,1140,101,12,2,264.4
balance.json,brook,managed-star,19,fox+otter+falcon+sprout+deer,Won,8,20,140,19,1140,101,12,2,249.1
balance.json,brook,managed-no-star,19,fox+otter+falcon+sprout+deer,Won,8,20,140,19,1140,101,12,2,255.6
balance.json,brook,managed-star,41,falcon+sprout+otter+fox+turtle,Won,8,20,140,19,1140,101,12,2,264.7
balance.json,brook,managed-no-star,41,falcon+sprout+otter+fox+turtle,Won,8,20,140,19,1140,101,12,2,272.6
balance.json,brook,managed-star,41,fox+otter+falcon+sprout+deer,Won,8,20,140,19,1140,101,12,2,218.6
balance.json,brook,managed-no-star,41,fox+otter+falcon+sprout+deer,Won,8,20,140,19,1140,101,12,2,230.8
balance.json,brook,managed-star,73,falcon+sprout+otter+fox+turtle,Won,8,20,140,19,1140,101,12,2,255.2
balance.json,brook,managed-no-star,73,falcon+sprout+otter+fox+turtle,Won,8,20,140,19,1140,101,12,2,270.4
balance.json,brook,managed-star,73,fox+otter+falcon+sprout+deer,Won,8,20,140,19,1140,101,12,2,238.4
balance.json,brook,managed-no-star,73,fox+otter+falcon+sprout+deer,Won,8,20,140,19,1140,101,12,2,252.8
balance.json,brook,managed-star,101,falcon+sprout+otter+fox+turtle,Won,8,20,140,19,1140,101,12,2,273.1
balance.json,brook,managed-no-star,101,falcon+sprout+otter+fox+turtle,Won,8,20,140,19,1140,101,12,2,283.8
balance.json,brook,managed-star,101,fox+otter+falcon+sprout+deer,Won,8,20,140,19,1140,101,12,2,225.3
balance.json,brook,managed-no-star,101,fox+otter+falcon+sprout+deer,Won,8,20,140,19,1140,101,12,2,233.8
balance.json,grove,idle-1-star,7,falcon+falcon,Lost,2,0,3,0,0,217,1,1,80.9
balance.json,grove,idle-2-star,7,falcon+falcon,Lost,3,0,17,0,0,322,2,1,118.1
balance.json,grove,idle-2-star,7,falcon+sprout,Lost,3,0,16,0,0,317,2,1,117.0
balance.json,grove,idle-2-star,7,falcon+otter,Lost,3,0,14,0,0,302,2,1,121.9
balance.json,grove,idle-2-star,7,falcon+fox,Lost,3,0,19,0,0,337,2,1,118.9
balance.json,grove,idle-2-star,7,falcon+turtle,Lost,3,0,18,0,0,327,2,1,119.1
balance.json,grove,idle-2-star,7,falcon+deer,Lost,3,0,14,0,0,307,2,1,117.0
balance.json,grove,idle-2-star,7,falcon+bat,Lost,3,0,16,0,0,317,2,1,117.0
balance.json,grove,idle-1-star,7,sprout+sprout,Lost,2,0,3,0,0,217,1,1,80.9
balance.json,grove,idle-2-star,7,sprout+sprout,Lost,3,0,10,0,0,283,2,1,116.0
balance.json,grove,idle-2-star,7,sprout+otter,Lost,3,0,13,0,0,298,2,1,127.4
balance.json,grove,idle-2-star,7,sprout+fox,Lost,3,0,15,0,0,311,2,1,120.3
balance.json,grove,idle-2-star,7,sprout+turtle,Lost,3,0,15,0,0,310,2,1,121.8
balance.json,grove,idle-2-star,7,sprout+deer,Lost,3,0,11,0,0,291,2,1,117.1
balance.json,grove,idle-2-star,7,sprout+bat,Lost,3,0,13,0,0,299,2,1,117.9
balance.json,grove,idle-1-star,7,otter+otter,Lost,2,0,2,0,0,213,1,1,84.1
balance.json,grove,idle-2-star,7,otter+otter,Lost,3,0,8,0,0,268,2,1,129.2
balance.json,grove,idle-2-star,7,otter+fox,Lost,4,0,30,0,0,422,2,1,170.4
balance.json,grove,idle-2-star,7,otter+turtle,Lost,3,0,12,0,0,294,2,1,123.9
balance.json,grove,idle-2-star,7,otter+deer,Lost,3,0,8,0,0,268,2,1,122.8
balance.json,grove,idle-2-star,7,otter+bat,Lost,3,0,12,0,0,290,2,1,120.0
balance.json,grove,idle-1-star,7,fox+fox,Lost,3,0,8,0,0,274,1,1,116.0
balance.json,grove,idle-2-star,7,fox+fox,Lost,3,0,19,0,0,337,2,1,118.9
balance.json,grove,idle-2-star,7,fox+turtle,Lost,3,0,19,0,0,337,2,1,122.9
balance.json,grove,idle-2-star,7,fox+deer,Lost,3,0,17,0,0,322,2,1,121.4
balance.json,grove,idle-2-star,7,fox+bat,Lost,3,0,15,0,0,309,2,1,120.3
balance.json,grove,idle-1-star,7,turtle+turtle,Lost,3,0,5,0,0,257,1,1,113.3
balance.json,grove,idle-2-star,7,turtle+turtle,Lost,3,0,16,0,0,318,2,1,123.3
balance.json,grove,idle-2-star,7,turtle+deer,Lost,3,0,15,0,0,313,2,1,121.8
balance.json,grove,idle-2-star,7,turtle+bat,Lost,3,0,14,0,0,305,2,1,121.8
balance.json,grove,idle-1-star,7,deer+deer,Lost,2,0,1,0,0,209,1,1,77.5
